Year,Month,Country,Energy_Source,Production (TWh),Consumption (TWh),CO2_Emissions (Million Tonnes),Renewable_Share (%),Fossil_Fuel_Share (%),Nuclear_Share (%)
2020,January,USA,Solar,910,852.3851318,81,43.91,7.34,48.75
2020,January,USA,Wind,516,474.7174113,468,61.3,14.02,24.68
2020,January,USA,Coal,180,162.7410418,869,7.22,86.31,6.47
2020,January,USA,Hydro,2483,2324.994279,286,45.14,14.17,40.69
2020,January,USA,Nuclear,4893,4426.268889,484,6.12,7.09,86.79
2020,January,USA,Oil,2797,2722.242815,289,0.91,67.1,31.99
2020,January,USA,Gas,1949,1954.548584,7075,4.67,81.6,13.74
2020,January,China,Solar,696,650.136958,176,5.86,19.13,75
2020,January,China,Wind,2111,2241.20536,274,6.04,8.46,85.5
2020,January,China,Coal,1528,1561.614979,875,0.34,84.56,15.1
2020,January,China,Hydro,2005,1877.576671,397,25.26,12.8,61.94
2020,January,China,Nuclear,3893,3647.627679,200,8.42,11.75,79.83
2020,January,China,Oil,4347,4690.262898,6513,7.27,49.59,43.13
2020,January,China,Gas,3848,3864.034047,7969,3.25,53.32,43.43
2020,January,Germany,Solar,387,390.072171,289,28.19,9.21,62.6
2020,January,Germany,Wind,429,409.7807298,166,57.14,6.12,36.74
2020,January,Germany,Coal,2618,2760.547361,2127,2.93,30.84,66.22
2020,January,Germany,Hydro,441,461.1984322,298,44.39,18.89,36.72
2020,January,Germany,Nuclear,3149,3377.682538,337,4.49,6.43,89.07
2020,January,Germany,Oil,4648,4472.289166,5947,6.66,65.48,27.86
2020,January,Germany,Gas,2823,3041.620314,5156,3.83,88.3,7.87
2020,January,India,Solar,2740,2882.910207,227,20.34,8.84,70.82
2020,January,India,Wind,4538,4729.197639,355,6.65,6.62,86.73
2020,January,India,Coal,913,937.9085411,663,5.63,71.73,22.64
2020,January,India,Hydro,1728,1816.318473,45,66.29,13.98,19.73
2020,January,India,Nuclear,3364,3136.069682,75,6.24,9.43,84.32
2020,January,India,Oil,3110,3341.048487,5247,2.18,54.99,42.82
2020,January,India,Gas,2031,2046.980819,1629,1.22,51.38,47.4
2020,January,Brazil,Solar,2287,2108.63775,386,47.1,5.01,47.89
2020,January,Brazil,Wind,1332,1200.652048,465,39.72,12.27,48.01
2020,January,Brazil,Coal,4829,4581.876429,3545,2.19,63.49,34.33
